자치구코드,자치구,2019,2020,2021,2022,2023,5개년평균
11110,종로구,306886.323877036,275555.99314380693,266700.62231606164,276494.0382719064,279452.0856143265,281017.8126446275
11140,중구,291872.7953184778,252604.61162280283,243923.43083011414,258463.41769344747,264173.0593119293,262207.4629553543
11170,용산구,294049.06674061314,283614.6967011953,278545.7508655023,283023.01483164384,281867.0797442352,284219.92177663796
11200,성동구,345244.1193834872,342621.3079496129,340106.21392576484,340197.5548364155,337202.0601098744,341074.251241031
11215,광진구,378990.84109726566,367330.1496387181,354362.1394667466,357346.8644731964,358710.04972496576,363348.0088801785
11230,동대문구,364486.00000803743,355213.9777808174,343347.06161356164,344805.8469543265,345201.37547002285,350610.8523653532
11260,중랑구,355284.8058424953,360004.54353777325,351437.5156500799,348109.3138282991,341928.91118229454,351353.0180081884
11290,성북구,429305.57325885416,427384.42125913023,415884.0112755594,414983.79187716893,415975.9698461301,420706.7535033686
11305,강북구,298162.4256311316,303782.66017686704,294209.7447174315,286544.52007113013,277838.41238869866,292107.5525970518
11320,도봉구,281671.1224000118,281814.42891762295,274932.9181000228,268864.73561783106,260379.25965069636,273532.49293723697
11350,노원구,519186.751594697,526883.7573336293,508080.1166937215,495486.44370618724,483205.51630458905,506568.51712656475
11380,은평구,436686.1169577296,449520.247335428,435181.2393263699,429097.7208718265,419347.24002836755,433966.5129039443
11410,서대문구,376098.6334972183,359832.01043134107,353612.0069864726,354841.2956810502,355930.27001792233,360062.84332280094
11440,마포구,469370.50247389916,453824.05930784385,438452.8914442009,445361.86514398403,447281.187290137,450858.101132013
11470,양천구,391665.6108896899,399224.7055182491,384186.8808790182,371073.140162089,363382.5401009703,381906.5755100033
11500,강서구,537360.8118675544,541960.9189533583,538723.4695863242,538115.1886404224,534033.9182289726,538038.8614553264
11530,구로구,393527.1138213305,389371.03884701733,382433.6539937443,383571.1269367351,383847.8688071233,386550.1604811901
11545,금천구,220919.9727925071,223753.48018613388,218658.0036434018,218324.52395618721,216598.84505875572,219650.96512739715
11560,영등포구,469820.23026508046,456574.696984836,458187.110566484,469401.26375275117,472675.5419197603,465331.7686977824
11590,동작구,402713.2411370147,395237.90046352457,377430.2156805365,379345.6163630137,371832.322234863,385311.85917579045
11620,관악구,487850.1789998106,487266.85626604053,469004.265904121,465291.6448032192,457384.8595653881,473359.5611077159
11650,서초구,592668.7687700995,570379.3270140482,555706.663749863,555864.0534656164,558168.0329680366,566557.3691935327
11680,강남구,810522.2566669863,805079.5656276754,786141.1008832991,804282.9577750799,814155.9634986302,804036.3688903342
11710,송파구,759487.3465758523,748124.5752858152,735115.068078105,741288.8079825229,736256.9372288927,744054.5470302377
11740,강동구,476638.80686682055,504200.84920650045,503065.1748534475,499820.9972309931,498063.3699395662,496357.8396194655
