자치구코드,자치구,2019,2020,2021,2022,2023,5개년평균
11110,종로구,339373.2463,296334.0328,285239.2046,301222.4385,309807.7927,306395.343
11140,중구,365234.3584,283871.3985,271742.0817,296808.8011,320755.679,307682.4637
11170,용산구,325658.3898,309111.5293,300104.5511,306027.9044,305872.6562,309355.0062
11200,성동구,363969.6372,360982.9239,357660.435,359447.7349,355714.4836,359555.0429
11215,광진구,405280.4643,392560.2854,377494.8096,381946.6868,383943.2534,388245.0999
11230,동대문구,391960.9821,382778.1401,369892.1817,374516.3979,374951.2381,378819.788
11260,중랑구,361735.1799,367083.4788,358109.0374,354799.8951,348339.5959,358013.4374
11290,성북구,447125.747,445797.0992,433522.3914,433378.8359,434646.9902,438894.2127
11305,강북구,304014.6449,309812.4298,299895.551,292468.1504,284458.2523,298129.8057
11320,도봉구,285082.0782,285375.6075,278444.1149,272351.5042,263734.5508,276997.5712
11350,노원구,525648.335,533431.7564,514361.0944,502084.0886,489538.0336,513012.6616
11380,은평구,445016.0396,457819.7373,442422.5546,436133.2932,426156.0728,441509.5395
11410,서대문구,411521.1575,386079.845,376648.2337,383234.8155,387997.9324,389096.3968
11440,마포구,511132.8327,482931.7864,463401.7085,476371.335,484155.9909,483598.7307
11470,양천구,398626.0482,406564.6156,391094.895,377352.6687,369032.4267,388534.1309
11500,강서구,556005.8251,556386.3975,552296.5783,551871.9783,551103.7675,553532.9093
11530,구로구,425341.6539,424450.2453,418949.6347,420231.327,419740.4525,421742.6627
11545,금천구,238993.3582,243559.0649,237785.9774,236887.4157,235218.1308,238488.7894
11560,영등포구,514583.0131,498093.0572,501159.925,515969.3406,521940.9941,510349.266
11590,동작구,421077.7519,413756.4937,393428.9831,396661.3396,388405.2267,402665.959
11620,관악구,512078.64,512827.6854,492855.4646,488292.0501,479712.1179,497153.1916
11650,서초구,616147.8387,590492.9385,572768.906,574922.7461,577239.3422,586314.3543
11680,강남구,851878.2225,835547.5102,812843.8377,839128.7172,852097.9305,838299.2436
11710,송파구,781905.4978,769261.7706,752564.769,759645.4277,754833.982,763642.2894
11740,강동구,487603.806,515263.4984,513315.2095,510200.9446,508274.6653,506931.6248
